Date,close,AvgTone
2020-12-10,145,48.9865883532603
2020-12-11,139,48.5975779026649
2020-12-14,130,45.5061831780625
2020-12-15,125,49.8439846581777
2020-12-16,138,55.4159192502662
2020-12-17,147,54.5856352699802
2020-12-18,157,53.5834032634033
2020-12-21,163,50.4911623042438
2020-12-22,163,51.284802393605
2020-12-23,158,50.4663889603357
2020-12-24,155,49.9571045576408
2020-12-29,150,46.0085836909871
2020-12-30,148,47.6784465724274
2021-01-04,139,47.2448917666996
2021-01-05,148,48.8551261335439
2021-01-06,143,44.0944619022441
2021-01-11,148,48.6544829036017
2021-01-12,161,42.8194614722601
2021-01-13,170,45.7574834973926
2021-01-14,181,46.3750085450997
2021-01-15,169,52.6900655643437
2021-01-19,174,48.1156102753732
2021-01-20,162,44.0399795772127
2021-01-21,180,50.245259081192
2021-01-22,182,51.717969607328
